iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
1100	0.8054113	0.5324558	0.2682111	0.6778183	0.2234175	0.3767765	0.2369879	0.6045952	0.680706	0.8343554	0.8129486	0.5842379	0.5240164	0.6357451	0.8487205	0.7848567	0.8535584	0.3550663	0.2861488	0.6249982	0.8610159	0.2590463	0.6668194	0.2966597	0.3020536	0.4953175	0.2811969	0.6725523	0.4344038	0.6184587	0.6206572	0.7225383	0.4416056	0.5922847	0.8350444	0.8021794	0.1708945	0.8348398	0.2726243	0.4230549	0.5542959	0.6814542	0.9216328	0.3907038	0.3560773	0.6907779	0.8870574	0.3172723	0.3514584	0.8496688	0.5437524	0.4090759	0.6196956	0.2490251	0.4041594	0.6290243	0.3492636	0.6317355	0.3187775	0.7790743	0.854572	0.1449986	0.2834991	0.1909041	0.8324519	0.5751424	0.3765861	0.828144	0.1848605	0.6633631	0.354843	0.862342	0.8770441	0.9111947	0.164791	0.466733	0.2091076	0.7568371	0.7018666	0.1875298	0.5252754	0.1389662	0.2173122	0.8127728	0.3348782	0.8629855	0.3205385	0.8831024	0.5615461	0.7436226	0.1580175	0.6653092	0.2020187	0.446248	0.6114444	0.6292689	0.4145505	0.7209308	0.8209179	0.6878466
1200	0.8859704	0.5993103	0.1668148	0.7260834	0.1950737	0.4101292	0.192897	0.5809043	0.7046728	0.8677453	0.8861534	0.5820681	0.6360298	0.6673535	0.877441	0.806164	0.8234209	0.3907262	0.2001712	0.6189809	0.863555	0.2010788	0.6227846	0.3387651	0.3890018	0.4672005	0.2906731	0.6871661	0.4611719	0.623035	0.673235	0.6662949	0.4825237	0.5701424	0.8560112	0.776131	0.1714141	0.7876307	0.1994284	0.4209062	0.5533398	0.6530894	0.889597	0.5099188	0.3903238	0.6935987	0.8764927	0.331348	0.2982898	0.7821192	0.514219	0.5340272	0.6628354	0.1464255	0.3355926	0.7162524	0.3201068	0.5319159	0.3203751	0.8200449	0.7680837	0.1068731	0.2147191	0.1133353	0.8117126	0.5834896	0.443331	0.8552251	0.08690199	0.778356	0.3151426	0.8403432	0.8787514	0.9533883	0.2189815	0.5494095	0.219412	0.7432194	0.7228532	0.1079563	0.4951271	0.2106038	0.1590673	0.8002865	0.3936538	0.9097071	0.3650008	0.8765511	0.5432629	0.6483015	0.1805755	0.8038792	0.1393622	0.4464642	0.5504918	0.6047728	0.3966513	0.8048589	0.8652815	0.6676163
1300	0.7933233	0.640409	0.1922428	0.6670142	0.2324112	0.5736525	0.1727212	0.7118823	0.7010568	0.8166038	0.9198199	0.5390046	0.6338742	0.6319571	0.8595275	0.8020933	0.7673588	0.3191358	0.2025456	0.6160436	0.9134168	0.241712	0.7113503	0.355832	0.3123325	0.4827579	0.3403017	0.6167258	0.4964322	0.5992886	0.6877401	0.7703283	0.4934068	0.6047226	0.849778	0.8410349	0.1824583	0.8445223	0.1555242	0.4418037	0.5375865	0.656655	0.9043321	0.3339069	0.2879528	0.7054363	0.8982107	0.2626442	0.2823672	0.7688682	0.5059601	0.3914146	0.6133435	0.1882447	0.4217922	0.7275843	0.2787622	0.6378725	0.2914844	0.8472231	0.7817317	0.1087369	0.2215608	0.2225506	0.7753955	0.6351947	0.3821755	0.7390926	0.2144245	0.7646947	0.3722196	0.8414233	0.9027858	0.8884309	0.1868561	0.5231824	0.1944311	0.7004562	0.7209547	0.1390643	0.4410418	0.1541577	0.2015385	0.8691915	0.3036306	0.8682375	0.3702181	0.8061282	0.5130051	0.7188822	0.2000909	0.7403587	0.2062182	0.4766425	0.5663725	0.6297379	0.4134953	0.7990002	0.8462334	0.6031982
1400	0.831585	0.4881851	0.2546553	0.7830115	0.2212359	0.3853188	0.1990335	0.5650641	0.8195142	0.8113532	0.853725	0.5024282	0.5632884	0.5875835	0.8148712	0.8164407	0.7697643	0.2882058	0.2409053	0.6696756	0.9561721	0.2420986	0.7109728	0.3479461	0.3532855	0.428949	0.3300526	0.6386026	0.5026672	0.6116102	0.6313275	0.7541727	0.4104624	0.6395961	0.831608	0.8085303	0.2140401	0.8743264	0.2153746	0.4721816	0.4958519	0.6376751	0.8917756	0.4135631	0.3157072	0.6539133	0.9107824	0.3525847	0.290143	0.7990437	0.5117648	0.5079509	0.5666259	0.1651508	0.406437	0.721499	0.2575005	0.6354427	0.2415789	0.8215837	0.777063	0.1139058	0.2131921	0.1489298	0.7899263	0.6889329	0.3279817	0.7688804	0.1660954	0.6980354	0.4288676	0.8605647	0.8649543	0.9017514	0.1898899	0.5323319	0.2179492	0.659945	0.6662691	0.2299577	0.5075998	0.1746482	0.2864911	0.8412554	0.2378048	0.8392015	0.3652247	0.8263457	0.5442061	0.7008954	0.1531159	0.8375796	0.187816	0.4461331	0.6063689	0.7010782	0.481926	0.7445685	0.7822675	0.6720968
1500	0.7998066	0.5380576	0.2410103	0.642172	0.2184543	0.4609737	0.175677	0.6405262	0.7925522	0.8504316	0.8858565	0.5813435	0.5658128	0.7173053	0.8737934	0.7092977	0.833174	0.3345647	0.2299728	0.614085	0.9143543	0.2208713	0.6830196	0.2771783	0.37266	0.4851698	0.3030084	0.7032991	0.4127053	0.6022639	0.6725924	0.7226369	0.3833296	0.5842046	0.8950167	0.7633503	0.1643142	0.8667775	0.1694074	0.5203391	0.5673824	0.6258949	0.8605247	0.3228262	0.2489857	0.6551583	0.8860071	0.3243361	0.2983539	0.7503479	0.45221	0.4657953	0.660018	0.1616733	0.4537527	0.6979433	0.3512376	0.6289316	0.3785943	0.828721	0.8499014	0.1307388	0.3320389	0.1373571	0.8133987	0.6242629	0.4321103	0.775757	0.2057964	0.7379044	0.4624029	0.839759	0.8616004	0.939355	0.1696234	0.4710383	0.197828	0.6991066	0.6366785	0.1596848	0.5433248	0.2014203	0.1886338	0.7936448	0.2524007	0.8738514	0.2991465	0.8567339	0.484374	0.7204202	0.23373	0.7682487	0.2958317	0.4363908	0.4935329	0.6898322	0.4526911	0.7408043	0.8734411	0.771567
1600	0.8595484	0.5176726	0.146452	0.729178	0.3114333	0.4737522	0.1108322	0.6869753	0.7298554	0.7918381	0.8800249	0.4988701	0.5965697	0.644998	0.8625245	0.7686214	0.8109651	0.37374	0.2409554	0.5662257	0.9388971	0.3255547	0.6503034	0.420418	0.4491136	0.4865602	0.246557	0.619928	0.4052886	0.6642886	0.6518936	0.7195484	0.5201166	0.6543517	0.8396191	0.7979162	0.1763576	0.8723597	0.1713184	0.4470017	0.5353005	0.638984	0.8728692	0.3778928	0.2639037	0.7261528	0.8946444	0.3191556	0.250736	0.7841073	0.5440809	0.5243876	0.5455825	0.2398073	0.4513833	0.5785324	0.2424334	0.6580721	0.3461088	0.8087991	0.8197483	0.1332436	0.3032625	0.1724422	0.8153838	0.6660838	0.4108562	0.8334575	0.1948165	0.7077108	0.3460103	0.8795698	0.9042788	0.8886774	0.1762902	0.4927438	0.2762889	0.7170988	0.7064936	0.167504	0.5093982	0.2000688	0.2063723	0.8924429	0.3354397	0.8459156	0.3254708	0.8189442	0.5440391	0.7223533	0.216123	0.7251043	0.277189	0.4128901	0.574675	0.6978548	0.4068458	0.7707204	0.8392811	0.6934243
1700	0.7784399	0.5663201	0.1512589	0.7421652	0.2085793	0.4489179	0.1734402	0.6764155	0.7407598	0.801681	0.8985375	0.5215955	0.6184307	0.6805633	0.8445991	0.7287528	0.8260842	0.4102011	0.2323396	0.5796718	0.9644227	0.3729138	0.7941316	0.3099596	0.2739326	0.5321264	0.2785143	0.5813688	0.4611572	0.7070057	0.6779298	0.7756732	0.4585454	0.6562472	0.8275791	0.817392	0.1998175	0.8306121	0.1597012	0.3801101	0.5059598	0.6753597	0.8736911	0.3307109	0.3555407	0.7027247	0.8902418	0.3172003	0.3404053	0.7498073	0.4781501	0.4952567	0.6878918	0.1642316	0.4631577	0.6002898	0.286661	0.5687934	0.311127	0.7521101	0.8217481	0.1050074	0.2827484	0.1614349	0.8808733	0.6219748	0.4121003	0.7641281	0.1226317	0.6875402	0.3670477	0.8536395	0.8517005	0.8748421	0.2431666	0.5204285	0.2058586	0.7323193	0.614775	0.1565729	0.554383	0.1167416	0.2043489	0.7983736	0.3565643	0.8789639	0.369587	0.8257388	0.5343197	0.7607903	0.1622563	0.7454735	0.2614461	0.3001244	0.5071738	0.7290613	0.3547441	0.7501882	0.7811524	0.7569075
1800	0.7679886	0.5751224	0.2443824	0.6772307	0.1734612	0.440336	0.2132868	0.6247513	0.7920649	0.8444739	0.8919669	0.5662142	0.6107976	0.6599073	0.8523118	0.753202	0.8063341	0.3681983	0.2166665	0.6889302	0.9222559	0.2275716	0.6301487	0.3005431	0.4191543	0.512832	0.3396697	0.6457768	0.4899427	0.5561197	0.6715728	0.732268	0.4544053	0.5917347	0.8849595	0.8078144	0.2454197	0.8795306	0.2517728	0.4358162	0.4809135	0.5853545	0.9321255	0.3424981	0.3244088	0.7769513	0.8900227	0.338497	0.2668528	0.801242	0.5594056	0.549794	0.6303669	0.178739	0.3812199	0.7643317	0.3377041	0.6123293	0.31759	0.8040788	0.7822723	0.1262661	0.2456869	0.1564442	0.7792038	0.6598173	0.2839176	0.8349119	0.1596733	0.7703321	0.410292	0.8271543	0.8518445	0.9341181	0.1664399	0.5428943	0.2361349	0.656235	0.648178	0.1648157	0.4751712	0.2004443	0.1718784	0.8094611	0.3405285	0.8700156	0.3340943	0.902265	0.5265784	0.7450417	0.1189051	0.7325536	0.2618736	0.5093583	0.5861659	0.6996046	0.4187654	0.7354574	0.8456416	0.6756603
1900	0.8257451	0.607318	0.1742876	0.7112199	0.2263199	0.4795796	0.2211424	0.6082129	0.695199	0.7682529	0.8606655	0.5262299	0.6584132	0.6758401	0.8283134	0.7420538	0.7535799	0.414419	0.1943553	0.5692002	0.9268085	0.3013015	0.6824787	0.3294157	0.3967519	0.4255037	0.1986409	0.6469446	0.4470089	0.6014815	0.6598872	0.7622589	0.4269846	0.6054654	0.8843515	0.8039714	0.1814544	0.8695996	0.2452472	0.4689133	0.5077937	0.6009081	0.9032174	0.4338817	0.2813526	0.7443089	0.8683702	0.4323906	0.3049926	0.7298842	0.5225182	0.5024931	0.6221147	0.1750968	0.4022719	0.6490926	0.2302457	0.5442624	0.2712854	0.8590934	0.7724942	0.09192307	0.2599575	0.2361536	0.7678023	0.6487902	0.4164259	0.8262398	0.1618745	0.7448926	0.3476334	0.8377153	0.8684523	0.8869715	0.1456165	0.4680631	0.1831746	0.7154166	0.669682	0.1502016	0.4227314	0.2315829	0.2126613	0.8153536	0.3121674	0.9060355	0.3196735	0.8391026	0.5239639	0.6778124	0.2322864	0.737086	0.2215464	0.5040239	0.5993077	0.6806382	0.4219173	0.8102677	0.8452738	0.7313508
2000	0.8224719	0.6148651	0.1562281	0.7604754	0.2017452	0.4260017	0.229911	0.6782984	0.6726532	0.8523178	0.9424749	0.5551558	0.5967262	0.6801911	0.8448396	0.7586536	0.8404646	0.3657548	0.1995488	0.6195106	0.9052473	0.2128971	0.6540793	0.421587	0.3978189	0.4547907	0.281992	0.660317	0.4698749	0.6244077	0.6352552	0.7624712	0.500801	0.5393615	0.8624509	0.7686242	0.2324022	0.8644992	0.2043964	0.4273509	0.5305974	0.6010273	0.8910156	0.4307485	0.2895111	0.7179582	0.8341496	0.4012165	0.2709098	0.8018738	0.523753	0.5136443	0.6038126	0.1975167	0.5150723	0.6745151	0.2419111	0.581761	0.3007339	0.9055288	0.8176797	0.1259883	0.2635336	0.1234517	0.8180474	0.7026851	0.4472656	0.8007694	0.2291308	0.7214278	0.392988	0.8653952	0.9107204	0.9278048	0.1832661	0.5957177	0.1594556	0.7417056	0.6690543	0.1789107	0.4755408	0.1770357	0.1891056	0.8708879	0.2399216	0.8341334	0.3930888	0.8301638	0.566517	0.708399	0.2325506	0.673852	0.1785405	0.3901358	0.5302755	0.670217	0.4229598	0.6988708	0.7931725	0.6449807
