iter	p__loc1	p__loc2	p__loc3	p__loc4	p__loc5	p__loc6	p__loc7	p__loc8	p__loc9	p__loc10	p__loc11	p__loc12	p__loc13	p__loc14	p__loc15	p__loc16	p__loc17	p__loc18	p__loc19	p__loc20	p__loc21	p__loc22	p__loc23	p__loc24	p__loc25	p__loc26	p__loc27	p__loc28	p__loc29	p__loc30	p__loc31	p__loc32	p__loc33	p__loc34	p__loc35	p__loc36	p__loc37	p__loc38	p__loc39	p__loc40	p__loc41	p__loc42	p__loc43	p__loc44	p__loc45	p__loc46	p__loc47	p__loc48	p__loc49	p__loc50	p__loc51	p__loc52	p__loc53	p__loc54	p__loc55	p__loc56	p__loc57	p__loc58	p__loc59	p__loc60	p__loc61	p__loc62	p__loc63	p__loc64	p__loc65	p__loc66	p__loc67	p__loc68	p__loc69	p__loc70	p__loc71	p__loc72	p__loc73	p__loc74	p__loc75	p__loc76	p__loc77	p__loc78	p__loc79	p__loc80	p__loc81	p__loc82	p__loc83	p__loc84	p__loc85	p__loc86	p__loc87	p__loc88	p__loc89	p__loc90	p__loc91	p__loc92	p__loc93	p__loc94	p__loc95	p__loc96	p__loc97	p__loc98	p__loc99	p__loc100
5500	0.252823	0.5381462	0.4631592	0.1546665	0.4029126	0.4350295	0.1397057	0.1912277	0.2970134	0.2554094	0.1880706	0.303691	0.08288959	0.3341611	0.3063464	0.2543352	0.2963386	0.139482	0.3400233	0.4621152	0.5124512	0.3448227	0.140917	0.1200357	0.5287788	0.0880597	0.02311401	0.4347884	0.002450454	0.4546802	0.06878044	0.188061	0.3626877	0.3851293	0.4968105	0.1720247	0.3890941	0.5015055	0.5387405	0.5154432	0.1628646	0.4176959	0.4541405	0.2389671	0.07694325	0.3248067	0.4978496	0.4635564	0.04109941	0.3075653	0.3955448	0.332937	0.1969634	0.305414	0.3210376	0.4142663	0.4842227	0.5137446	0.009597373	0.5115713	0.01769504	0.5146424	0.4565392	0.5411006	0.4838679	0.2506241	0.1670934	0.09580682	0.4334886	0.5251991	0.5157265	0.01929889	0.1707592	0.1104741	0.1197743	0.04547927	0.5553595	0.2297333	0.3005286	0.03702054	0.4399446	0.4174554	0.553093	0.1575733	0.2666422	0.2192909	0.3047993	0.1187561	0.4372831	0.5471018	0.1034926	0.1180827	0.1249894	0.1008761	0.176513	0.3880926	0.6187409	0.05978845	0.09832637	0.381678
6000	0.2551893	0.6038046	0.3913916	0.1839912	0.3454613	0.4099417	0.1040224	0.1866982	0.309764	0.3412554	0.1747078	0.3069167	0.03155898	0.3919104	0.3458472	0.2313061	0.2247057	0.1065817	0.3249756	0.4259665	0.5384403	0.2864813	0.1230863	0.1233443	0.4623307	0.2104432	0.01205003	0.3649593	0.006073709	0.3761037	0.1004767	0.1843139	0.3941537	0.4356328	0.5054957	0.2491408	0.4648526	0.5168951	0.4260985	0.4412137	0.1751506	0.5418689	0.4833506	0.1477127	0.1126948	0.2994755	0.4053216	0.4909075	0.05352136	0.2687605	0.3646131	0.2221989	0.2077876	0.2380974	0.3333528	0.4409504	0.5315106	0.4732179	0.001485142	0.4198524	0.01458069	0.5177642	0.4981123	0.4817701	0.5259061	0.3304298	0.186941	0.06093675	0.3302168	0.4872739	0.5385649	0.03545106	0.1624236	0.05781321	0.1096406	0.04467689	0.537963	0.2097562	0.2841917	0.005717479	0.4557776	0.2734634	0.5211876	0.2059901	0.1550678	0.3253918	0.3673896	0.08382612	0.4089084	0.4597719	0.06343259	0.07750486	0.2251589	0.1131514	0.1709316	0.3875654	0.4486158	0.05095215	0.1280398	0.4086393
6500	0.2886467	0.5141607	0.3950156	0.1961213	0.4020625	0.4209117	0.1166708	0.1805776	0.2236967	0.3173045	0.2156953	0.4041583	0.04745534	0.472288	0.3484397	0.2869136	0.2205973	0.1205401	0.378056	0.440577	0.4897985	0.2981192	0.1688858	0.1453819	0.4293212	0.1576132	0.006986783	0.4743499	0.01119023	0.3002542	0.1283726	0.1721555	0.3788763	0.4272078	0.468431	0.2171541	0.4314113	0.5119784	0.5181671	0.483576	0.2059775	0.4442598	0.4770516	0.1675278	0.1399236	0.264258	0.3880956	0.4286616	0.1185967	0.2938847	0.4183864	0.2525897	0.2237956	0.265924	0.2740273	0.5047941	0.52403	0.6603214	0.005721785	0.4534403	0.05429852	0.4418256	0.4796346	0.4509057	0.6219556	0.2820283	0.1538138	0.04622324	0.397744	0.4320448	0.6522527	0.02399276	0.1195258	0.04625088	0.152256	0.05272823	0.5530087	0.171539	0.3693194	0.03835901	0.4776872	0.3476327	0.475427	0.1968362	0.1886406	0.1859136	0.2128957	0.1737651	0.3850104	0.4890958	0.06725653	0.1050306	0.2267611	0.08898485	0.1035521	0.3669183	0.4830786	0.1230859	0.1214911	0.2926932
7000	0.2217493	0.5853449	0.4442827	0.2570335	0.3300248	0.3894778	0.1331273	0.1833929	0.209583	0.2849984	0.1981951	0.3286504	0.03525822	0.4323564	0.3212369	0.311838	0.2324121	0.05342894	0.3046031	0.519134	0.5577031	0.3615621	0.07161439	0.1509752	0.5470689	0.138759	0.009076678	0.3898338	0.02758399	0.324062	0.09511426	0.3170136	0.4895645	0.4146295	0.5096901	0.1933951	0.4838572	0.4963066	0.5524682	0.4945701	0.2038565	0.4110835	0.4200159	0.2118746	0.1184705	0.211648	0.3834297	0.3287614	0.06123945	0.2691652	0.3923989	0.3659869	0.2000282	0.3022732	0.2468695	0.4913197	0.5348821	0.6124792	0.00340688	0.4850774	0.0331354	0.4558539	0.5759321	0.4803284	0.4923637	0.2929081	0.165529	0.06332806	0.3318728	0.4125943	0.5653119	0.01105005	0.1735722	0.05539737	0.1250051	0.03456527	0.3680166	0.25507	0.3634566	0.06120741	0.4703234	0.429076	0.4834531	0.2140497	0.2049231	0.2577473	0.2296868	0.1774894	0.3719699	0.4759869	0.1028279	0.08743832	0.2776586	0.07998131	0.1534513	0.4708999	0.5684393	0.07041728	0.144548	0.3926915
7500	0.247495	0.4618413	0.5125124	0.1250872	0.3672536	0.5206947	0.1108862	0.1736096	0.3061336	0.303485	0.2521509	0.3555673	0.05346796	0.4297698	0.2587133	0.2723177	0.1832995	0.1134815	0.3135123	0.4112906	0.4892112	0.2651782	0.1104051	0.1301427	0.5435079	0.1552518	0.01702428	0.2766667	0.001936778	0.3099994	0.05170659	0.1885162	0.3914786	0.3672903	0.4542191	0.2043414	0.4276672	0.515788	0.5240456	0.4221494	0.1944664	0.4706375	0.454414	0.2374527	0.1029053	0.3196279	0.4374607	0.4668211	0.05274678	0.3498526	0.4542951	0.4259218	0.174079	0.2864004	0.3319257	0.447175	0.4626897	0.5094409	0.003864795	0.4867235	0.03952604	0.4958813	0.4403002	0.5266865	0.4547047	0.3377465	0.1317264	0.07885795	0.3797834	0.413411	0.5333207	0.03478536	0.1523446	0.1274684	0.07956551	0.09450604	0.4732958	0.1661421	0.3420754	0.04726162	0.4636337	0.3931249	0.4609165	0.1414137	0.2098853	0.3290338	0.2625053	0.1594311	0.2868382	0.443693	0.06846322	0.1061308	0.2749936	0.128132	0.2091196	0.3790559	0.4261927	0.05052513	0.09023707	0.3558851
8000	0.2998702	0.577124	0.4618723	0.1481979	0.3785774	0.4701278	0.110796	0.1864685	0.3477937	0.3291261	0.2249011	0.2962661	0.05289701	0.4332898	0.3789433	0.2632966	0.1709489	0.04003113	0.2437915	0.5184182	0.499823	0.2558597	0.06470776	0.086009	0.3817722	0.134412	0.001318121	0.4560335	0.02236614	0.3424377	0.06443846	0.2563786	0.5289529	0.4508808	0.4769662	0.1724209	0.3372867	0.5854153	0.4749024	0.4677042	0.1846222	0.4891246	0.456425	0.2694595	0.1118343	0.3718401	0.5837481	0.4811491	0.05179518	0.259641	0.4442447	0.2774109	0.1618973	0.2251927	0.3177457	0.4348607	0.4656827	0.5257867	0.007742212	0.4537062	0.03082195	0.5123881	0.3923011	0.4123776	0.4975903	0.2885882	0.120307	0.0279317	0.3160341	0.378944	0.4298836	0.02315076	0.1924437	0.1052082	0.1138936	0.1458051	0.4333487	0.1454858	0.3361629	0.02523149	0.5028096	0.3614932	0.5125603	0.1548472	0.245564	0.3024102	0.2998877	0.1030167	0.3382365	0.5396	0.07673465	0.1256358	0.2019339	0.1073318	0.1703365	0.3465578	0.5167716	0.0213877	0.1279958	0.4070821
8500	0.1838892	0.534309	0.5594593	0.183775	0.3731471	0.50308	0.1438891	0.2204256	0.3848982	0.2255957	0.234519	0.3764835	0.1095659	0.421896	0.311846	0.2880923	0.2421161	0.05094861	0.2508912	0.4523489	0.4945892	0.1976334	0.0943566	0.09722914	0.3839415	0.09156098	0.006592971	0.3143334	0.03126356	0.4030292	0.04435116	0.1902667	0.4122007	0.4735903	0.568732	0.2433177	0.3979173	0.5455362	0.454455	0.5305726	0.2212242	0.3915829	0.4271851	0.1993677	0.05155355	0.2115425	0.5078302	0.5428749	0.09456875	0.2655528	0.4526336	0.2784223	0.1528052	0.2510502	0.4026586	0.4812036	0.5394654	0.5871268	0.006612355	0.3766367	0.03898955	0.4817563	0.5114781	0.4865977	0.5366518	0.3502945	0.2405391	0.07987658	0.3776619	0.4409031	0.4951504	0.02709054	0.1669267	0.0353023	0.08852666	0.01925747	0.5091732	0.2179824	0.3895485	0.03393013	0.4743525	0.4746274	0.4887031	0.165612	0.2320809	0.2514537	0.2691999	0.2033383	0.3729845	0.5132899	0.08461169	0.07743457	0.3153827	0.124251	0.1530847	0.4507097	0.5054175	0.06252914	0.1079661	0.374795
9000	0.2616983	0.5673409	0.5306731	0.1235463	0.3365102	0.4753924	0.1169626	0.1623265	0.2917952	0.3633946	0.1826631	0.3387373	0.04401518	0.4180147	0.2791526	0.2599917	0.2532444	0.06043501	0.2950248	0.4942917	0.4889797	0.3465323	0.09986737	0.1377995	0.5314599	0.1087314	0.008677403	0.4555798	0.02123363	0.3097525	0.03314316	0.2276654	0.3985335	0.4575241	0.5257453	0.201252	0.4409709	0.621155	0.460188	0.5365837	0.1674003	0.395757	0.5233091	0.2123869	0.1169241	0.2593693	0.4458073	0.4285746	0.06936665	0.1511417	0.4847826	0.3006019	0.2073606	0.2480847	0.3122282	0.51357	0.5203692	0.5317033	0.03422482	0.4922029	0.02810182	0.4116881	0.4778203	0.5222659	0.565549	0.2406221	0.2123976	0.09078974	0.4422724	0.4084016	0.4954106	0.01217872	0.1105627	0.0632288	0.0713428	0.03583559	0.4335607	0.206817	0.3274648	0.04300343	0.4571527	0.4192581	0.4900451	0.123186	0.1520231	0.3077521	0.3284531	0.1805737	0.4217414	0.4613898	0.1460974	0.08164584	0.2356486	0.1161933	0.1779167	0.428096	0.423408	0.03717741	0.1390039	0.3521719
9500	0.2295227	0.5203239	0.3864013	0.2321483	0.3754	0.3978294	0.1196027	0.122172	0.3529479	0.3271061	0.1781418	0.3631864	0.06048822	0.396854	0.3420806	0.2163308	0.3019437	0.06211498	0.3280636	0.5017906	0.4463947	0.2918188	0.09218965	0.04977707	0.5896909	0.09581098	0.0002785449	0.2755057	0.01641431	0.4469854	0.07084877	0.1625879	0.4219522	0.4040738	0.475909	0.2301942	0.4544393	0.513263	0.4326835	0.4280481	0.1535647	0.433248	0.4308543	0.2781	0.08347733	0.2825893	0.4310284	0.4914238	0.1322565	0.2838927	0.4447843	0.3262037	0.1763095	0.2537025	0.3402045	0.4566218	0.516647	0.5862357	0.001176183	0.4367776	0.04402875	0.5295412	0.4597713	0.5480891	0.434569	0.2966113	0.1271251	0.04275474	0.3163289	0.439333	0.5203297	0.01328995	0.1901051	0.03505996	0.07765148	0.09861943	0.499868	0.1753189	0.3272225	0.05612601	0.4665482	0.3907339	0.5852561	0.1709179	0.2076437	0.233372	0.3308802	0.1101813	0.3710937	0.5467324	0.04002764	0.1433404	0.1855658	0.1022834	0.1752855	0.3015389	0.4492043	0.0438441	0.1118544	0.2634607
10000	0.2684398	0.5438156	0.5775139	0.1739266	0.3782846	0.4931598	0.0797603	0.1311013	0.3509301	0.2530166	0.1794754	0.3808344	0.04421773	0.496058	0.2895246	0.2779221	0.2275248	0.03787915	0.2813847	0.453461	0.4254666	0.3039657	0.0573435	0.06060645	0.4101363	0.1056502	0.01821173	0.4040119	0.01927929	0.4372381	0.05454628	0.208527	0.4417253	0.4157423	0.479769	0.2594161	0.4989481	0.5869335	0.536364	0.4972438	0.2239577	0.4416208	0.4270111	0.172229	0.1166445	0.3737475	0.4235101	0.5308881	0.09794798	0.3284468	0.4300725	0.3707336	0.1559888	0.2840927	0.265576	0.5530623	0.5540159	0.5147398	0.02597719	0.43948	0.01070689	0.5344078	0.4917707	0.5719286	0.5041775	0.2920482	0.1561204	0.0551163	0.3576472	0.5055045	0.4864303	0.0127842	0.2077702	0.07073338	0.1126729	0.02510901	0.411937	0.1887368	0.326106	0.04987753	0.4775304	0.3200483	0.4407503	0.1586065	0.2271414	0.2018593	0.3333802	0.1410363	0.326135	0.5611939	0.05246922	0.05670428	0.2395051	0.1711176	0.1414452	0.3425856	0.5619278	0.07628244	0.1448809	0.3489778
10500	0.2287839	0.5537719	0.5360956	0.2053044	0.4298791	0.3730637	0.08392745	0.1579971	0.3360588	0.3091677	0.2246662	0.4736757	0.04796722	0.4754354	0.2862589	0.2289359	0.1608037	0.05696546	0.2774757	0.4973117	0.515544	0.2569846	0.141773	0.1184897	0.5674731	0.1210243	0.004811931	0.3741239	0.040917	0.2808893	0.05489884	0.14972	0.4667378	0.414281	0.5358241	0.218453	0.3955573	0.5531082	0.5738073	0.5215282	0.2708457	0.4394346	0.3902152	0.3733323	0.1529044	0.2563944	0.3986801	0.399067	0.04611595	0.334607	0.3710926	0.396914	0.2455896	0.2701841	0.348299	0.423981	0.4698378	0.5835573	0.01895244	0.4987353	0.02660795	0.4363807	0.4617538	0.5271866	0.4545312	0.2783739	0.2107481	0.07160252	0.3013102	0.4416221	0.4653716	0.03313776	0.1247312	0.08931604	0.09738983	0.05883133	0.4436261	0.1974733	0.3642297	0.02204335	0.4821204	0.377458	0.4485084	0.2782826	0.1598342	0.2666693	0.2593813	0.1093942	0.4382279	0.500277	0.04526218	0.1227411	0.2004479	0.1126938	0.2036454	0.3478142	0.5768106	0.03318299	0.1107749	0.3561665
